0 0 0
 2.78088e-17  1.00901e-16 -2.34323e-17
  0.00500224 -0.000104951      9.81373
  0.00556392 -0.000113883      9.81404
  0.00611057 -0.000122305      9.81432
  0.00664298 -0.000130235      9.81459
   0.0071613 -0.000137732      9.81484
   0.0076662 -0.000144753      9.81507
  0.00815788 -0.000151347      9.81529
  0.00863683 -0.000157513      9.81549
  0.00910357 -0.000163299      9.81568
  0.00955833 -0.000168657      9.81585
   0.0100015 -0.000173697        9.816
   0.0104335 -0.000178391      9.81615
   0.0108546 -0.000182685      9.81627
   0.0112652 -0.000186691      9.81639
  0.0116656 -0.00019034     9.81649
    0.012056 -0.000193727      9.81658
   0.0124367 -0.000196808      9.81666
  0.0128083 -0.00019959     9.81673
   0.0131708 -0.000202092      9.81678
   0.0135244 -0.000204356      9.81683
  0.0138696 -0.00020637     9.81686
   0.0118506 -7.30158e-05      9.81802
   0.0101502 -0.000120281      9.81897
   0.0105114 -0.000118249      9.81901
  0.0108655 -0.00011604     9.81904
   0.0112132 -0.000113707      9.81906
   0.0115544 -0.000111245      9.81908
  0.00992974 -0.000138444      9.81991
   0.0102898 -0.000132136      9.81991
   0.0106437 -0.000125916      9.81991
  0.0109915 -0.00012049      9.8199
   0.0113334 -0.000114137      9.81988
   0.0116697 -0.000107849      9.81985
   0.0120007 -0.000101623      9.81982
   0.0103907 -0.000108578      9.82056
   0.0107579 -0.000100576      9.82052
   0.0111189 -9.27267e-05      9.82047
   0.0114738 -8.50029e-05      9.82041
   0.0118229 -7.74672e-05      9.82035
   0.0121662 -7.09585e-05      9.82029
  0.0125041 -6.3754e-05     9.82022
   0.0128367 -5.66822e-05      9.82015
   0.0112733 -5.01986e-05       9.8208
   0.0116538 -4.24809e-05      9.82072
  0.0120273 -3.4955e-05     9.82063
   0.0123944 -2.75529e-05      9.82054
    0.012755 -2.02501e-05      9.82045
   0.0131094 -1.30865e-05      9.82035
   0.0134579 -6.05299e-06      9.82026
  0.0138007 8.85114e-07     9.82015
   0.014138 7.72715e-06     9.82005
  0.0144699 1.44813e-05     9.81995
   0.012946 2.89386e-05     9.82053
   0.013334 3.56266e-05     9.82042
  0.0137146 4.22221e-05      9.8203
  0.0140879 4.87117e-05     9.82018
  0.0144543 5.50736e-05     9.82007
  0.0148141 6.13638e-05     9.81995
  0.0151673 6.75722e-05     9.81983
  0.0155143 7.37091e-05     9.81971
  0.0158554 7.97578e-05     9.81959
  0.0161906 8.57273e-05     9.81946
  0.0165203 9.16365e-05     9.81934
  0.0168445 9.75038e-05     9.81922
  0.0171635 0.000103274      9.8191
  0.0174774 0.000109005     9.81897
  0.0159457 0.000127979     9.81953
  0.0163241 0.000133249      9.8194
  0.0166947 0.000138439     9.81927
   0.017058 0.000143626     9.81914
  0.0174139 0.000148781     9.81901
 0.0177631 0.00015387    9.81888
  0.0181056 0.000158895     9.81875
  0.0184417 0.000163898     9.81862
  0.0187716 0.000168856      9.8185
  0.0190956 0.000173811     9.81837
  0.0194138 0.000178656     9.81825
  0.0197265 0.000183503     9.81813
  0.0200336 0.000188328     9.81801
  0.0203358 0.000193157     9.81789
  0.0206328 0.000197913     9.81777
  0.0209249 0.000202661     9.81765
  0.0212123 0.000207364     9.81753
  0.0214952 0.000212046     9.81742
   0.019947 0.000232915     9.81796
  0.0203011 0.000236908     9.81784
  0.0206476 0.000240892     9.81772
  0.0209867 0.000244864      9.8176
  0.0213186 0.000248842     9.81748
  0.0216437 0.000252799     9.81736
  0.0219622 0.000256752     9.81725
  0.0222743 0.000260655     9.81714
  0.0225804 0.000264531     9.81703
 0.0228805 0.00026847    9.81692
  0.0231749 0.000272369     9.81681
  0.0234637 0.000276211      9.8167
  0.0237473 0.000280087      9.8166
 0.0240257 0.00028394     9.8165
 0.0242991 0.00028782     9.8164
  0.0245676 0.000291598      9.8163
  0.0248315 0.000295423      9.8162
  0.0250908 0.000299238     9.81611
 0.0253458 0.00030305    9.81602
  0.0255965 0.000306816     9.81593
   0.025843 0.000310548     9.81584
  0.0260856 0.000314317     9.81575
  0.0263242 0.000318049     9.81567
  0.0265592 0.000321796     9.81558
  0.0267903 0.000325488      9.8155
  0.0251956 0.000346931     9.81607
  0.0255051 0.000349783     9.81598
  0.0258073 0.000352629     9.81589
  0.0261024 0.000355499      9.8158
   0.026391 0.000358414     9.81572
   0.026673 0.000361265     9.81563
 0.0269488 0.00036413    9.81555
  0.0272186 0.000367026     9.81547
  0.0274825 0.000369901      9.8154
  0.0277409 0.000372795     9.81532
  0.0279939 0.000375689     9.81525
  0.0282416 0.000378564     9.81518
  0.0284842 0.000381436     9.81511
   0.028722 0.000384304     9.81504
   0.028955 0.000387151     9.81498
  0.0291834 0.000390034     9.81491
  0.0294074 0.000392865     9.81485
  0.0296271 0.000395696     9.81479
  0.0298427 0.000398563     9.81473
  0.0300541 0.000401363     9.81467
  0.0302617 0.000404152     9.81462
  0.0304654 0.000406966     9.81456
  0.0306654 0.000409781     9.81451
  0.0308618 0.000412554     9.81446
0.0310546 0.0004153   9.81441
   0.031244 0.000418068     9.81436
  0.0314302 0.000420779     9.81431
   0.031613 0.000423529     9.81427
  0.0317927 0.000426227     9.81422
  0.0319692 0.000428958     9.81418
  0.0321426 0.000431646     9.81414
  0.0323132 0.000434273      9.8141
  0.0324809 0.000436955     9.81406
  0.0326458 0.000439581     9.81402
 0.0328078 0.00044219    9.81399
  0.0329671 0.000444779     9.81395
  0.0313123 0.000465537     9.81456
  0.0315563 0.000467161     9.81451
 0.0317936 0.00046879    9.81446
  0.0320244 0.000470407     9.81442
   0.032249 0.000472055     9.81438
  0.0324676 0.000473685     9.81434
  0.0326804 0.000475348      9.8143
  0.0328876 0.000477033     9.81426
  0.0330895 0.000478672     9.81422
  0.0332861 0.000480275     9.81419
  0.0334777 0.000481927     9.81416
  0.0336644 0.000483572     9.81412
  0.0338465 0.000485197     9.81409
0.0340241 0.0004868   9.81406
  0.0341971 0.000488436     9.81403
   0.034366 0.000490055       9.814
  0.0345307 0.000491672     9.81398
  0.0346913 0.000493292     9.81395
  0.0348481 0.000494895     9.81393
  0.0350011 0.000496427      9.8139
  0.0351504 0.000497976     9.81388
 0.0352962 0.00049951    9.81386
 0.0354384 0.00050105    9.81383
  0.0355772 0.000502533     9.81381
  0.0357129 0.000504044      9.8138
  0.0358453 0.000505549     9.81378
  0.0359745 0.000506969     9.81376
  0.0361006 0.000508425     9.81374
  0.0362239 0.000509875     9.81372
  0.0363441 0.000511265     9.81371
  0.0364616 0.000512674     9.81369
  0.0365762 0.000514027     9.81368
  0.0366881 0.000515399     9.81367
  0.0367974 0.000517526     9.81365
  0.0369039 0.000518791     9.81364
   0.037008 0.000520058     9.81363
  0.0371096 0.000521294     9.81362
  0.0372086 0.000522509      9.8136
  0.0373052 0.000523701     9.81359
  0.0373994 0.000524874     9.81358
  0.0374914 0.000526045     9.81357
   0.037581 0.000527162     9.81357
  0.0376683 0.000528282     9.81356
  0.0377534 0.000529317     9.81355
  0.0378363 0.000530409     9.81354
  0.0379171 0.000531405     9.81353
  0.0379957 0.000532404     9.81353
  0.0380722 0.000533394     9.81352
 0.0381466 0.00053434    9.81352
   0.038219 0.000535283     9.81351
  0.0382894 0.000536192      9.8135
  0.0383578 0.000537065      9.8135
  0.0384242 0.000537924     9.81349
  0.0384886 0.000538719     9.81349
  0.0385511 0.000539569     9.81349
  0.0386117 0.000540358     9.81348
  0.0386704 0.000541078     9.81348
  0.0387272 0.000541837     9.81347
  0.0387822 0.000542535     9.81347
  0.0388354 0.000543215     9.81347
  0.0388867 0.000543869     9.81347
  0.0389362 0.000544424     9.81346
  0.0389839 0.000545023     9.81346
  0.0390299 0.000545569     9.81346
  0.0390741 0.000546105     9.81346
  0.0391166 0.000546673     9.81346
  0.0391573 0.000547165     9.81345
 0.0391964 0.00054758    9.81345
 0.0392337 0.00054802    9.81345
  0.0392693 0.000548423     9.81345
  0.0393032 0.000548804     9.81345
  0.0393356 0.000549141     9.81345
  0.0393662 0.000549454     9.81345
  0.0393952 0.000548928     9.81345
 0.0394225 0.00054931    9.81345
  0.0394482 0.000549667     9.81345
  0.0394722 0.000550012     9.81344
  0.0394947 0.000551017     9.81344
  0.0395156 0.000551165     9.81344
   0.039535 0.000551354     9.81344
  0.0395527 0.000551446     9.81344
  0.0395688 0.000552264     9.81344
  0.0395835 0.000552222     9.81344
  0.0395964 0.000552124     9.81344
  0.0396079 0.000552005     9.81344
  0.0396178 0.000551873     9.81344
  0.0396262 0.000550829     9.81344
  0.0396332 0.000551394     9.81344
 0.0396385 0.00055104    9.81344
  0.0396424 0.000550701     9.81344
  0.0396447 0.000550289     9.81344
  0.0396455 0.000549901     9.81345
  0.0396449 0.000550276     9.81345
  0.0396427 0.000549899     9.81345
 0.0396391 0.00055034    9.81345
  0.0396341 0.000550064     9.81345
  0.0396276 0.000549735     9.81345
  0.0396196 0.000549399     9.81345
  0.0396101 0.000548989     9.81345
  0.0395991 0.000548559     9.81345
  0.0395868 0.000548134     9.81345
